,7,14,21,28
0,127.16667,128.93333,119.8,110.6
1,127.3,129,119.8,110.7
2,127.45,129.05,119.8,110.7
3,127.6,129.1,119.8,110.7
4,127.8,129,119.8,110.65
5,128,129.03333,119.83333,110.6
6,128.1,129.1,119.9,110.7
7,128.7,129.16667,119.9,110.7
8,128.95,129.2,119.9,110.7
9,129.2,129.5,120.1,110.76667
10,130.1,129.6,120.1,110.8
11,131.33333,129.7,120.1,110.8
12,133.8,130.3,120.2,110.8
13,135.85,130.3,120.2,110.8
14,137.9,130.8,120.3,110.86667
15,139.6,131.7,120.6,110.95
16,139.63333,131.9,120.9,111
17,139.7,132.3,122.1,111
18,139.1,132.76667,122.73333,111.06667
19,138.8,133,124,111.2
20,137.5,133.6,124.75,111.35
21,136.5,133.86667,125.83333,111.5
22,136,134.4,126.5,113.6
23,133.4,135,126.8,113.6
24,132.7,135.6,127.1,117.3
25,131.3,144.8,127.6,118.5
26,129.3,146,127.7,119.7
27,128.3,148.4,127.9,121
28,125.5,147.8,128.1,121.46667
29,124.9,147.1,128.2,121.7
30,124.3,146.4,128.7,122.1
31,122.2,144.3,129,122.25
32,121.6,143.76667,129.3,122.4
33,120.4,142.7,129.8,122.4
34,118.53333,141.3,130.1,122.43333
35,117.6,140.6,130.7,122.5
36,116,139.1,137.4,122.55
37,114.6,138.73333,147.9,122.6
38,113.9,138,155.5,122.8
39,113,137.2,158.43333,122.9
40,112.05,136.8,159.9,123.1
41,111.1,135.7,160.2,123.36667
42,109,135.4,159.25,123.5
43,108.43333,135.1,158.3,124
44,107.3,133.8,154.6,124.5
45,107.3,133.26667,153.13333,125
46,107.3,132.2,150.2,148.2
47,106.2,132,148.73333,155.23333
48,106.1,131.9,148,169.3
49,106,130.7,145.8,185.25
50,105.35,130.7,145.8,201.2
51,104.7,130.1,144.1,257.13333
52,104.3,128.7,143.2,326.5
53,103.43333,128.3,141.83333,367.9
54,103,127.5,140.9,490.7
55,103.1,127.1,140.36667,536.2
56,102.4,126.9,140.1,627.2
57,101.7,125.7,139.3,686.93333
58,99,125,138.95,716.8
59,99.26667,124.3,138.6,778.5
60,99.8,122.4,138.1,803
61,99.5,122.4,138.1,827.5
62,99.2,122.3,137.7,846.76667
63,98.5,121.8,137.65,861.45
64,98.5,121.3,137.6,866.5
65,98,120.5,137.53333,871.83333
66,97.75,119.9,137.4,874.5
67,97.3,119.3,137.3,883.9
68,96.9,118.1,136.7,889.5
69,96.83333,117.76667,136.93333,895.1
70,96.8,117.1,137.4,901.9
71,96.5,115.96667,138.46667,904.9
72,96.2,115.4,139,910.9
73,95.9,113.7,147,915.9
74,95.3,113.65,169.7,918.4
75,95.3,113.6,192.4,917
76,94.1,112.8,213,914.6
77,93.5,112,223.3,909.8
78,92.9,111.6,284.9,896.8
79,92.8,111.2,321.8,890.3
80,93.06667,111.16667,358.7,883.8
81,93.6,111.1,593.6,872.8
82,93.13333,110.9,673.3,869.36667
83,92.9,110.8,832.7,862.5
84,92.1,110.3,942.7,858.43333
85,91.9,109.95,997.7,856.4
86,91.7,109.6,1050.1,851.3
87,91.4,108.7,1052.15,848.1
88,91.4,108.7,1054.2,844.9
89,91,107.6,1050.33333,840.56667
90,91,107.35,1053.35,838.4
91,91,107.1,1058.3,835.3
92,90.8,106.1,1057.63333,833.36667
93,90.65,106.35,1057.3,832.4
94,90.5,106.6,1060.6,831.1
95,90.5,106.7,1060.7,830.9
96,90.76667,107.06667,1060.8,830.7
97,91.3,107.8,1049.6,829.2
98,90.65,108.45,1049.6,829.2
99,90,109.1,1033.5,827.2
100,89.7,110.3,1025.5,826.65
101,90.23333,110.16667,1013.43333,826.1
102,90.5,109.9,1005.3,824.5
103,90.3,111.7,1000.9,823.8
104,90.1,112.6,998.7,822.4
105,89.9,115,996.8,820.8
106,89.9,116.76667,997.33333,819.2
107,89.9,120.3,998.4,815.7
108,88.8,124.63333,997.6,814.16667
109,88.5,131.15,997.2,811.1
110,88.2,135.5,993.5,807.2
111,88.2,150.8,990.1,805.35
112,88.23333,161.7,986.7,803.5
113,88.3,183.5,980.2,801
114,89.43333,230.5,977.43333,799.7
115,90,254,971.9,797.1
116,89.4,319,966.96667,794.96667
117,89.4,347.15,964.5,793.9
118,89.4,375.3,957.8,791.2
119,90,501.96667,955.33333,790.1
120,90.3,565.3,950.4,787.9
121,90.5,1037.3,944.6,785.7
122,89.8,1074.1,942.55,784.6
123,90.1,1110.9,940.5,781.4
124,90.7,1138.8,936,779.2
125,91.5,1112.6,936,777
126,92.3,1086.4,930.1,771.7
127,92.8,1149.9,928.55,770.2
128,93.03333,1162.7,927,768.7
129,93.5,1188.3,924.5,766.4
130,94.2,1186.4,924.5,766.4
131,94.9,1184.5,920.9,764.1
132,93.8,1158.4,918.6,763
133,95.6,1157.36667,915.16667,761.9
134,96.5,1155.3,912.9,760
135,100.9,1152.3,911.36667,759.43333
136,101.15,1150.8,910.6,758.3
137,101.4,1133.8,909,757.23333
138,103.1,1127.8,908.1,755.85
139,105.35,1121.8,907.2,755
140,107.6,1110.9,905.1,754.4
141,113.33333,1107.16667,904.16667,753.8
142,116.2,1099.7,902.3,752.3
143,127.2,1096.75,899.6,752.3
144,129.96667,1093.8,896.9,749.1
145,135.5,1077.7,891.8,748
146,138.43333,1066.36667,890.4,746.46667
147,139.9,1060.7,887.6,745.6
148,167.9,1051.9,884.53333,744.46667
149,192.65,1048.9,880.3,743.9
150,217.4,1045.9,877.6,742.1
151,266,1041.23333,873.73333,741.46667
152,311.25,1038.9,871.8,740.2
153,356.5,1031.2,865.4,739
154,506.76667,1026.86667,863,736.66667
155,581.9,1024.7,858.2,734.4
156,1142.9,1018,854.65,732.7
157,1187.76667,1016,851.1,731
158,1277.5,1012,846.3,729
159,1250.1,1007,844.6,728
160,1219.7,1001.5,841.2,726
161,1203,998.5,835.9,722.5
